req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
396,45809740.350,3082,1,1,470,1.000,1,4.004,0.500,6.307
398,45809740.366,2215,1,1,643,1.000,3,8.028,0.500,49.681
400,45809740.382,3172,1,1,183,1.000,4,0.001,0.500,7.531
399,45809740.397,1316,1,0,758,1.000,5,4.003,0.500,12.351
394,45809740.412,1799,1,0,455,1.000,6,3.009,0.500,21.656
411,45809740.428,2740,1,1,819,1.000,7,1.007,0.500,24.734
417,45809740.443,87031808,0,1,423,1.000,8,75.059,0.500,17.309
385,45809740.458,2507,1,0,262,1.000,9,4.005,0.500,19.189
407,45809740.474,1928,1,1,604,1.000,1,5.004,0.500,6.242
401,45809740.488,101711872,1,0,596,1.000,3,66.416,0.500,50.518
405,45809740.509,2360,1,1,55,1.000,4,3.501,0.500,7.329
408,45809740.525,2905,1,0,893,1.000,5,9.004,0.500,12.184
402,45809740.540,2434,0,0,709,1.000,6,1.008,0.500,20.623
426,45809740.555,1507,1,1,568,1.000,7,7.006,0.500,23.848
430,45809740.570,1150,1,1,344,1.000,8,9.007,0.500,16.894
404,45809740.591,1282,1,1,932,1.000,9,0.019,0.500,18.230
416,45809740.607,2996,1,0,960,1.000,1,0.004,0.500,5.930
421,45809740.622,2817,0,0,205,1.000,3,12.044,0.500,48.594
412,45809740.637,4979,0,1,178,1.000,4,1.501,0.500,7.038
420,45809740.658,1067,0,1,320,1.000,5,5.004,0.500,11.825
414,45809740.674,65011712,0,1,248,1.000,6,30.252,0.500,21.105
431,45809740.690,4438,0,1,124,1.000,7,0.006,0.500,22.656
433,45809740.704,4848,0,1,365,1.000,8,2.009,0.500,16.149
415,45809740.720,1115,0,0,431,1.000,9,4.019,0.500,17.520
427,45809740.734,2733,0,0,187,1.000,1,6.004,0.500,5.933
422,45809740.750,1904,1,1,726,1.000,4,4.001,0.500,6.886
429,45809740.765,3270,1,0,220,1.000,5,0.004,0.500,11.234
423,45809740.781,1147,0,0,924,1.000,6,3.011,0.500,20.200
432,45809740.796,3838,0,1,753,1.000,7,3.007,0.500,21.674
434,45809740.811,2407,1,1,197,1.000,8,9.007,0.500,15.792
418,45809740.827,2666,1,1,381,1.000,9,4.010,0.500,16.844
